
|           | Observed| Chao1| se.chao1| ACE|    se.ACE|  Shannon|   Simpson| InvSimpson|    Fisher|
|Plate3.B8  |       78|    78|        0|  78|  3.646213| 3.273556| 0.9299005|  14.265441| 11.208930|
|Plate3.B9  |       29|    29|        0|  29|  2.678136| 1.770761| 0.7741749|   4.428206|  3.460136|
|Plate3.C1  |       38|    38|        0|  38|  2.513123| 2.884024| 0.9053219|  10.562103|  5.917614|
|Plate3.C10 |       54|    54|        0|  54|  2.854496| 2.715300| 0.8764285|   8.092483|  7.032701|
|Plate3.C11 |       74|    74|        0|  74|  2.940859| 2.803529| 0.8715681|   7.786227|  9.905037|
|Plate3.C12 |       33|    33|        0|  33|  2.860388| 2.088649| 0.8316370|   5.939548|  4.023155|
|Plate3.C2  |       55|    55|        0|  55|  2.614644| 2.623515| 0.8118686|   5.315435|  7.978638|
|Plate3.C3  |       66|    66|        0|  66|  2.912876| 2.783465| 0.8393682|   6.225416|  9.861579|
|Plate3.C4  |       34|    34|        0|  34|  2.473388| 2.660550| 0.9109432|  11.228789|  4.513542|
|Plate3.C5  |       91|    91|        0|  91|  3.718088| 3.093153| 0.9202712|  12.542520| 12.458651|
|Plate3.C6  |       46|    46|        0|  46|  2.111048| 2.662447| 0.8836005|   8.591104|  5.758188|
|Plate3.C7  |       41|    41|        0|  41|  2.263173| 2.602965| 0.8669907|   7.518270|  5.532540|
|Plate3.C8  |       84|    84|        0|  84|  3.415650| 3.349856| 0.9359185|  15.605124| 11.772937|
|Plate3.C9  |       37|    37|        0|  37|  3.031367| 1.558888| 0.7349407|   3.772740|  4.482901|
|Plate3.D1  |       56|    56|        0|  56|  2.748376| 2.847773| 0.8548821|   6.890947|  8.297362|
|Plate3.D10 |       33|    33|        0|  33|  2.640018| 1.735693| 0.7349658|   3.773098|  3.838923|
|Plate3.D11 |       75|    75|        0|  75|  3.464102| 2.918955| 0.8888553|   8.997277| 10.332085|
|Plate3.D12 |       28|    28|        0|  28|  2.584293| 2.036982| 0.8306674|   5.905538|  3.446453|
|Plate3.D2  |       50|    50|        0|  50|  2.297825| 2.648707| 0.8419692|   6.327879|  7.010001|
|Plate3.D3  |       51|    51|        0|  51|  2.937252| 2.737225| 0.8622752|   7.260859|  7.554403|
|Plate3.D4  |       37|    37|        0|  37|  2.701351| 2.187281| 0.8174440|   5.477772|  4.465391|
|Plate3.D5  |       78|    78|        0|  78|  3.291403| 3.293704| 0.9377247|  16.057737| 11.058961|
|Plate3.D6  |       36|    36|        0|  36|  2.995367| 2.137250| 0.8358984|   6.093786|  4.325076|
|Plate3.D7  |       54|    54|        0|  54|  3.412938| 2.572572| 0.8723756|   7.835490|  6.968710|
|Plate3.D8  |       85|    85|        0|  85|  3.840956| 3.425550| 0.9433664|  17.657373| 12.066903|
|Plate3.D9  |       49|    49|        0|  49|  3.481731| 1.680878| 0.7108636|   3.458575|  6.552987|
|Plate3.E1  |       28|    28|        0|  28|  2.618615| 1.409165| 0.6888659|   3.214048|  3.204986|
|Plate3.E10 |       44|    44|        0|  44|  3.261344| 1.754474| 0.7275435|   3.670311|  5.065352|
|Plate3.E11 |       80|    80|        0|  80|  3.658893| 2.667953| 0.8590450|   7.094465| 10.516283|
|Plate3.E12 |       42|    42|        0|  42|  3.236694| 1.954646| 0.8060381|   5.155651|  5.211539|
|Plate3.E2  |       97|    97|        0|  97|  3.461124| 3.029979| 0.8601115|   7.148551| 13.631713|
|Plate3.E3  |       78|    78|        0|  78|  3.389274| 2.863842| 0.8609510|   7.191708| 10.719078|
|Plate3.E4  |       36|    36|        0|  36|  2.981424| 1.645942| 0.7415769|   3.869623|  4.321149|
|Plate3.E5  |       80|    80|        0|  80|  3.734970| 3.289890| 0.9339467|  15.139294| 10.908388|
|Plate3.E6  |       53|    53|        0|  53|  3.342127| 2.529807| 0.8820954|   8.481434|  6.563059|
|Plate3.E7  |       62|    62|        0|  62|  3.885457| 1.797659| 0.7481421|   3.970493|  8.005735|
|Plate3.E8  |       73|    73|        0|  73|  3.611246| 3.107118| 0.9213706|  12.717897| 10.149434|
|Plate3.E9  |       51|    51|        0|  51|  3.452762| 1.752344| 0.7276964|   3.672372|  6.533313|
|Plate3.F1  |       53|    53|        0|  53|  1.923048| 2.696999| 0.8542465|   6.860899|  7.653912|
|Plate3.F10 |       33|    33|        0|  33|  2.708013| 1.814081| 0.7648887|   4.253304|  3.847730|
|Plate3.F11 |       70|    70|        0|  70|  3.253569| 2.610968| 0.8420258|   6.330147|  9.371410|
|Plate3.F12 |       41|    41|        0|  41|  3.192980| 2.183925| 0.8340811|   6.027041|  5.253379|
|Plate3.F2  |       80|    80|        0|  80|  3.577709| 2.904714| 0.8633652|   7.318779| 11.151506|
|Plate3.F3  |       48|    48|        0|  48|  3.000000| 2.838203| 0.8757557|   8.048661|  7.413023|
|Plate3.F4  |       42|    42|        0|  42|  3.225641| 1.531776| 0.7016254|   3.351492|  5.038582|
|Plate3.F5  |       76|    76|        0|  76|  3.469794| 2.985634| 0.9140601|  11.636043| 10.358379|
|Plate3.F6  |       53|    53|        0|  53|  2.848369| 2.695245| 0.8992131|   9.921929|  6.665205|
|Plate3.F7  |       50|    50|        0|  50|  3.464102| 2.137406| 0.8439971|   6.410139|  6.194301|
|Plate3.F8  |       33|    33|        0|  33|  2.059715| 2.755282| 0.8970249|   9.711085|  5.278102|
|Plate3.F9  |       44|    44|        0|  44|  3.089572| 2.209348| 0.7935702|   4.844262|  5.573894|
|Plate3.G1  |       36|    36|        0|  36|  2.374634| 2.709938| 0.8649525|   7.404802|  5.746878|
|Plate3.G10 |       36|    36|        0|  36|  2.981424| 1.757994| 0.7430349|   3.891578|  4.420905|
|Plate3.G11 |       54|    54|        0|  54|  2.468318| 2.746830| 0.8696503|   7.671670|  7.479437|
|Plate3.G12 |       31|    31|        0|  31|  2.602728| 2.083530| 0.8391172|   6.215707|  3.830708|
|Plate3.G2  |       44|    44|        0|  44|  2.872281| 2.545146| 0.8703667|   7.714069|  5.936983|
|Plate3.G3  |       52|    52|        0|  52|  2.601774| 2.956326| 0.8870281|   8.851758|  7.545238|
|Plate3.G4  |       26|    26|        0|  26|  2.480695| 1.647586| 0.7297235|   3.699915|  2.999021|
|Plate3.G5  |       99|    99|        0|  99|  3.567530| 3.177730| 0.9303090|  14.349051| 12.962656|
|Plate3.G6  |       55|    55|        0|  55|  2.743588| 3.013797| 0.9218286|  12.792402|  7.543885|
|Plate3.G7  |       32|    32|        0|  32|  2.822897| 1.932102| 0.7973717|   4.935145|  3.848598|
|Plate3.G8  |       34|    34|        0|  34|  2.357716| 2.961845| 0.9220558|  12.829696|  5.958361|
|Plate3.G9  |       53|    53|        0|  53|  2.127981| 2.983009| 0.9158833|  11.888239|  7.325291|
|Plate3.H1  |       22|    22|        0|  22|  2.256304| 2.189419| 0.8198666|   5.551442|  3.850942|
|Plate3.H10 |       51|    51|        0|  51|  2.597133| 2.621479| 0.8532476|   6.814199|  7.414798|
|Plate3.H11 |       31|    31|        0|  31|  2.747433| 2.146240| 0.8312310|   5.925259|  3.842782|
|Plate3.H12 |       40|    40|        0|  40|  1.665833| 2.899978| 0.9073375|  10.791848|  6.006457|
|Plate3.H2  |       53|    53|        0|  53|  2.127981| 2.338459| 0.7657799|   4.269489|  6.990605|
|Plate3.H3  |       40|    40|        0|  40|  2.258318| 2.612050| 0.8588669|   7.085509|  5.749458|
|Plate3.H4  |       25|    25|        0|  25|  2.481935| 1.593051| 0.7315785|   3.725484|  2.918302|
|Plate3.H5  |       78|    78|        0|  78|  2.952617| 2.965054| 0.9000531|  10.005316| 10.463788|
|Plate3.H6  |       33|    33|        0|  33|  1.651446| 2.774471| 0.9009015|  10.090970|  5.216704|
|Plate3.H7  |       31|    31|        0|  31|  2.711981| 1.634854| 0.7306911|   3.713209|  3.590224|
|Plate3.H8  |       37|    37|        0|  37|  1.888801| 2.957905| 0.9199083|  12.485688|  5.816384|
|Plate3.H9  |       60|    60|        0|  60|  3.191133| 2.788572| 0.8780805|   8.202135|  8.118540|
|Plate4.A1  |       19|    19|        0|  19|  2.026145| 1.942487| 0.7949379|   4.876572|  3.063726|
|Plate4.A2  |       19|    19|        0|  19|  1.919430| 2.134804| 0.8004354|   5.010910|  3.261426|
|Plate4.A3  |       43|    43|        0|  43|  3.169623| 2.228380| 0.8434479|   6.387651|  5.082144|
|Plate4.A4  |       30|    30|        0|  30|  2.714160| 1.770287| 0.7461411|   3.939196|  3.553825|
|Plate4.A5  |       81|    81|        0|  81|  2.960647| 2.946129| 0.8868687|   8.839284| 10.563478|
|Plate4.A6  |       23|    23|        0|  23|  2.105892| 1.880464| 0.7404352|   3.852603|  3.177092|
|Plate4.B1  |       38|    38|        0|  38|  2.389671| 2.746223| 0.8930543|   9.350539|  5.626462|
|Plate4.B2  |       67|    67|        0|  67|  3.138590| 2.826786| 0.8621346|   7.253452|  9.116823|
|Plate4.B3  |       30|    30|        0|  30|  2.639444| 2.090059| 0.8494833|   6.643783|  3.576594|
|Plate4.B4  |       30|    30|        0|  30|  2.316607| 1.883814| 0.8052193|   5.133980|  3.186874|
|Plate4.B5  |       74|    74|        0|  74|  3.170813| 2.803916| 0.8551021|   6.901411| 10.066285|
|Plate4.B6  |       31|    31|        0|  31|  2.747433| 1.943966| 0.7812249|   4.570904|  3.508265|
|Plate4.C1  |       44|    44|        0|  44|  2.558409| 2.610206| 0.8536445|   6.832679|  6.163802|
|Plate4.C2  |       53|    53|        0|  53|  2.952453| 2.757751| 0.8660632|   7.466206|  7.548691|
|Plate4.C3  |       45|    45|        0|  45|  3.333333| 2.114091| 0.8303938|   5.896010|  5.338061|
|Plate4.C4  |       38|    38|        0|  38|  3.065084| 1.989848| 0.8120560|   5.320733|  4.421690|
|Plate4.C5  |       71|    71|        0|  71|  3.258791| 2.761972| 0.8574591|   7.015528|  9.527152|
|Plate4.C6  |       32|    32|        0|  32|  2.778264| 1.928566| 0.7678984|   4.308458|  4.001288|
|Plate4.D1  |       26|    26|        0|  26|  2.425823| 1.734969| 0.7325138|   3.738511|  3.253509|
|Plate4.D2  |       63|    63|        0|  63|  3.116775| 2.757653| 0.8539639|   6.847621|  8.593862|
|Plate4.D3  |       29|    29|        0|  29|  2.690981| 1.987535| 0.8259337|   5.744937|  3.415025|
|Plate4.D4  |       49|    49|        0|  49|  3.499271| 1.606948| 0.6529253|   2.881224|  5.796241|
|Plate4.D5  |      331|   331|        0| 331|  8.400475| 2.476112| 0.7831609|   4.611715| 51.038061|
|Plate4.D6  |       42|    42|        0|  42|  3.225641| 1.722597| 0.7375809|   3.810699|  5.010197|
|Plate4.E1  |       31|    31|        0|  31|  2.770816| 1.698332| 0.7140031|   3.496541|  3.573445|
|Plate4.E2  |       83|    83|        0|  83|  4.021029| 2.678015| 0.8337983|   6.016786| 11.426068|
|Plate4.E3  |       29|    29|        0|  29|  2.559634| 2.005278| 0.8150397|   5.406566|  3.255291|
|Plate4.E4  |       98|    98|        0|  98|  4.799022| 1.571214| 0.6411447|   2.786639| 11.833580|
|Plate4.E5  |      400|   400|        0| 400|  9.310075| 3.030994| 0.8689080|   7.628233| 68.051130|
|Plate4.E6  |       49|    49|        0|  49|  3.493434| 1.717931| 0.7527499|   4.044488|  5.650246|
|Plate4.F1  |       27|    27|        0|  27|  2.372684| 1.665710| 0.6942260|   3.270389|  3.385467|
|Plate4.F2  |       53|    53|        0|  53|  2.952453| 2.127816| 0.7475643|   3.961405|  7.327837|
|Plate4.F3  |       30|    30|        0|  30|  2.316607| 2.316820| 0.8567534|   6.980968|  3.725488|
|Plate4.F4  |       52|    52|        0|  52|  3.594868| 1.813572| 0.7524748|   4.039993|  6.228234|
|Plate4.F5  |      522|   522|        0| 522| 11.352924| 4.202429| 0.9536333|  21.567182| 79.794688|
|Plate4.F6  |       43|    43|        0|  43|  2.861127| 1.750877| 0.7377550|   3.813227|  4.740828|
|Plate4.G1  |       23|    23|        0|  23|  2.105892| 1.602518| 0.6940222|   3.268210|  2.726593|
|Plate4.G2  |       42|    42|        0|  42|  2.849394| 2.411211| 0.8216865|   5.608100|  6.181547|
|Plate4.G3  |       32|    32|        0|  32|  2.543374| 2.512065| 0.8946251|   9.489927|  3.972194|
|Plate4.G4  |       43|    43|        0|  43|  3.277833| 1.494566| 0.6486407|   2.846089|  4.848563|
|Plate4.G5  |      469|   469|        0| 469| 10.584214| 2.566773| 0.7470185|   3.952858| 71.543074|
|Plate4.G6  |       48|    48|        0|  48|  3.313483| 1.151939| 0.4590578|   1.848626|  5.281992|
|Plate4.H1  |       43|    43|        0|  43|  2.667635| 2.238785| 0.7798982|   4.543352|  6.448605|
|Plate4.H2  |       20|    20|        0|  20|  1.788854| 2.248470| 0.8584851|   7.066394|  2.652515|
|Plate4.H3  |       28|    28|        0|  28|  2.535463| 1.842851| 0.7721741|   4.389317|  3.549357|
|Plate4.H4  |       45|    45|        0|  45|  2.683282| 2.458394| 0.8089109|   5.233162|  6.620536|
|Plate4.H5  |       37|    37|        0|  37|  2.780239| 1.851927| 0.7314120|   3.723174|  4.602842|
